gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,is_de
TP53,637.1949289249931,-1.4844815319310316,0.3486022568218403,-4.2583818747039945,2.0605149091412756e-05,0.0020605149091412756,1
BCL2,84.77696278672269,-0.26635108444817457,0.23001592193639503,-1.1579680319774868,0.24687719885314463,1.0,0
CDKN1A,1243.4894681793526,0.1736039293800428,0.26613272249093994,0.652320871162143,0.5141940731379897,1.0,0
MYC,1653.826668234096,0.10074176611800206,0.2537348032214746,0.397035664161801,0.6913412622327963,1.0,0
BRCA1,21.616290430234194,-0.561916619044131,0.3035395197322745,-1.8512140347976707,0.06413864635033084,1.0,0
VEGFA,57.210116218004394,0.4490713018254955,0.3126927768492706,1.43614222992418,0.1509619667976987,1.0,0
IL6,488.7057669260701,-0.037677830140333324,0.23207915576698357,-0.1623490486072059,0.8710309791195316,1.0,0
SOD2,251.0459804716105,-0.44437243808628824,0.15953014024092782,-2.785507725469193,0.0053445148545239185,0.5344514854523919,0
EGFR,393.38873231540475,0.47551364574154964,0.08615606684524175,5.519212554069968,3.4137513704735056e-08,3.4137513704735056e-06,1
PTEN,112.21695644598506,0.2502702286384616,0.2458888777873664,1.0178184181835341,0.30876429083868784,1.0,0
GENE_0010,1508.840814218245,1.6866203565438198,0.30287658498171727,5.568671994388838,2.573570956343474e-08,2.573570956343474e-06,1
GENE_0011,1295.5465133544826,0.7108731361030898,0.20164574748814806,3.5253564479204904,0.00042299823853708673,0.042299823853708673,1
GENE_0012,445.4326452386602,0.26351894734647713,0.12447065793253335,2.1171170115394737,0.03424979729897615,1.0,0
GENE_0013,2188.259614840413,-0.0040784462500184524,0.15778215969262305,-0.02584858933331698,0.9793780092485489,1.0,0
GENE_0014,813.4333662750178,2.6698096751463405,0.21769701096820343,12.263878421078964,0.0,1e-300,1
GENE_0015,111.17008275827158,0.06371911353185623,0.30590392912396996,0.20829779373652166,0.8349965159531871,1.0,0
GENE_0016,701.4335546687488,-0.011233230041612793,0.12637334943847356,-0.08888923251244386,0.9291698143988736,1.0,0
GENE_0017,95.74382151846643,-0.2641200464087956,0.2452804664415688,-1.076808317598804,0.28156598322747417,1.0,0
GENE_0018,1506.6975051383945,0.23274017572283145,0.28340952576664724,0.8212150776980738,0.41152365992361606,1.0,0
GENE_0019,374.3200325518642,0.19064118692959198,0.33273283049040225,0.5729557454508267,0.5666745837884768,1.0,0
GENE_0020,305.7312520199264,0.005872055955884515,0.11150999675329204,0.05265945768858753,0.9580031060489507,1.0,0
GENE_0021,145.27168565157513,-0.3159945415470412,0.3301257412244305,-0.9571944931498618,0.3384690821416876,1.0,0
GENE_0022,2524.534600307243,0.051971941666429544,0.24239623449710945,0.21440903062811112,0.8302281701677019,1.0,0
GENE_0023,319.9631320769493,-0.027919514304855154,0.2870094286067172,-0.09727734186430739,0.9225060316928915,1.0,0
GENE_0024,212.19555245672092,-0.5333897274936804,0.09451917158350998,-5.643190884533067,1.673882010777561e-08,1.673882010777561e-06,1
GENE_0025,237.88792853675912,-0.5887249405296743,0.21666000202296065,-2.717275616323884,0.006582280212635849,0.6582280212635849,0
GENE_0026,896.4690580918332,1.5694679774030118,0.24811001200181426,6.325693851449797,2.5321478247519735e-10,2.5321478247519735e-08,1
GENE_0027,697.9630026416073,-1.0407553260206757,0.16284513676566684,-6.391074039369786,1.6548495906931748e-10,1.6548495906931748e-08,1
GENE_0028,749.2696389968891,0.08216421078450399,0.1965455561873382,0.4180415593125333,0.6759168145172847,1.0,0
GENE_0029,769.8775717752877,-0.1912332231015298,0.22966049652549148,-0.8326779136798722,0.40502630054719746,1.0,0
GENE_0030,10021.333015863058,-2.069735657948118,0.22918794373870455,-9.030735317856895,0.0,1e-300,1
GENE_0031,219.28614506351414,-0.1973872836615503,0.09130261185984628,-2.1619018299777544,0.030625635307991006,1.0,0
GENE_0032,187.0986291443989,0.2637936857007584,0.19866007697630092,1.327864610322423,0.18422296901953938,1.0,0
GENE_0033,119.02587514019548,-2.4475402744754446,0.13773090179390232,-17.77045123931515,0.0,1e-300,1
GENE_0034,1016.3460127227268,2.7396969205706885,0.3275076710830444,8.365290838870147,0.0,1e-300,1
GENE_0035,2193.9490959426125,0.2947346123680205,0.3436765973333002,0.857592907561828,0.3911172045186577,1.0,0
GENE_0036,340.04528962467253,-0.18502228652983208,0.16090466201505865,-1.1498876677203815,0.2501902540492056,1.0,0
